EMPLOYER,JOB TITLE,BASE SALARY,LOCATION,SUBMIT DATE,START DATE,CASE STATUS
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"FRANKLIN, TN",7/23/15,7/23/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"JEFFERSON CITY, MO",7/23/15,7/23/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"FRANKLIN, TN",7/27/15,7/28/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"ORLANDO, FL",8/4/15,8/4/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"FRANKLIN, TN",8/6/15,8/6/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"MENOMONEE FALLS, WI",8/11/15,8/11/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"BELLEVUE, WA",8/11/15,8/11/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"SCOTTSDALE, AZ",8/20/15,8/20/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"PHOENIX, AZ",8/21/15,8/21/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"CINCINNATI, OH",8/25/15,8/25/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"SCOTTSDALE, AZ",8/26/15,8/27/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"REDMOND, WA",8/31/15,8/31/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"BELLEVUE, WA",9/10/15,9/10/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"REDMOND, WA",9/14/15,9/14/15,CERTIFIED
WIPRO LIMITED,ARCHITECT LEVEL 2,60000,"CINCINNATI, OH",9/22/15,9/22/15,CERTIFIED
